state_fips,state_name,n_respondents,baseline,glm_mrp,glmer_mrp,srp,glmerstan,mrdeep
01,Alabama,76,0.4078947368421052,0.5243898591999618,0.5302925652315199,0.5160845373733978,0.5122900156106839,0.69071
02,Alaska,11,0.7272727272727273,0.6901319765727155,0.6033359362355197,0.6341193982718337,0.6143305590088491,0.6894753
04,Arizona,110,0.5454545454545454,0.5903145727300398,0.6035613055278137,0.5843514870931585,0.5936744608344332,0.6660201
05,Arkansas,46,0.5217391304347826,0.5613052901281526,0.5357311463152677,0.5601354626477232,0.5363727732300453,0.6803148
06,California,583,0.692967409948542,0.6953266619216779,0.6839655318247944,0.6802871707647643,0.6877673036767327,0.702845
08,Colorado,88,0.5909090909090909,0.5751964171520011,0.6153697194104439,0.590119328202433,0.6064666236185309,0.68946576
09,Connecticut,54,0.7592592592592593,0.6996996691563496,0.648348534700986,0.6622063576754897,0.6684199579185606,0.68634886
10,Delaware,15,0.6,0.5347639599532644,0.6084566084212436,0.5801278119383491,0.6005593835497334,0.6956761
11,District of Columbia,10,0.9,0.8085528032449157,0.8634093567268545,0.6998076471822069,0.8549099640493565,0.6708729
12,Florida,335,0.5522388059701493,0.5832161710553803,0.5947839148763785,0.5631457071407672,0.5809454860150709,0.6889211
13,Georgia,162,0.654320987654321,0.604957142672683,0.6164002092187998,0.6151931524254327,0.6273847547122913,0.6944686
15,Hawaii,21,0.7619047619047619,0.7157077794112545,0.707931812392304,0.6565477032221269,0.7113301041622092,0.693353
16,Idaho,29,0.6551724137931034,0.586044677803965,0.5335725377931609,0.5835486737845469,0.5526573737580706,0.691154
17,Illinois,189,0.6349206349206349,0.6420513782786881,0.6395003446664345,0.6190046353292875,0.639309878761016,0.70311785
18,Indiana,102,0.5882352941176471,0.5355112674412607,0.5356697688468008,0.567545387845392,0.5462525501669191,0.68803585
19,Iowa,48,0.6458333333333334,0.5540614776307375,0.5395405712954838,0.5788445020399614,0.5531286352779153,0.6852989
20,Kansas,43,0.5813953488372093,0.5623913973815168,0.5520223789020422,0.5774390905896469,0.5586201482577307,0.68659234
21,Kentucky,67,0.4477611940298507,0.5065427172365172,0.5193823226095368,0.5152163984313454,0.5091771287627764,0.689901
22,Louisiana,69,0.4927536231884058,0.5223803906495731,0.5310837265223239,0.5501589080782441,0.5220607264452384,0.69408715
23,Maine,21,0.7142857142857143,0.6480735105623012,0.6097749417908246,0.608042336394649,0.6235745840742899,0.6902575
24,Maryland,92,0.6956521739130435,0.6439662154959069,0.6716808369606732,0.6426024363109286,0.6716091311198906,0.6878803
25,Massachusetts,103,0.6699029126213593,0.7342260759220959,0.6930221363083752,0.6570944972512099,0.6967736442897597,0.6979083
26,Michigan,147,0.5170068027210885,0.5754936710497531,0.5790540696544995,0.5526388468656247,0.5627508871070713,0.6934507
27,Minnesota,85,0.5176470588235295,0.6067631040718072,0.6100538463121353,0.5824346515382697,0.5954368598577864,0.69360113
28,Mississippi,44,0.5909090909090909,0.535717123362834,0.5459455298109638,0.5782985102646946,0.5451062041747322,0.68702143
29,Missouri,91,0.6043956043956044,0.5767284139676349,0.5631519455278806,0.5873999438863732,0.5768604312622391,0.68767256
30,Montana,17,0.4705882352941176,0.5453793726502261,0.5227095713998636,0.5709249750068214,0.5215214850884543,0.6930911
31,Nebraska,29,0.5517241379310345,0.5631048152057689,0.5380014322247726,0.5803788915946408,0.5429258706079452,0.6895479
32,Nevada,48,0.5208333333333334,0.5585728847990471,0.6003549681678831,0.5812160986161267,0.588574656306501,0.6952064
33,New Hampshire,21,0.8095238095238095,0.658158078396379,0.6051375211056019,0.6295633445536468,0.6256017552250891,0.6953678
34,New Jersey,139,0.6258992805755396,0.6235164826649151,0.6431666011558642,0.6184316486345119,0.6347019285192871,0.6899681
35,New Mexico,32,0.5625,0.4852333586505731,0.5692808103265304,0.5671332867713083,0.5582204346354793,0.69070107
36,New York,292,0.7123287671232876,0.7123425993128566,0.7101386594879949,0.6839133947786105,0.7120464365593614,0.6976203
37,North Carolina,158,0.5632911392405063,0.5887217515468703,0.5930402025490212,0.5821954368344773,0.5880659253202355,0.69088143
38,North Dakota,12,0.4166666666666667,0.4273538308392648,0.4171422000378363,0.5414960975158761,0.4132486495971005,0.6932905
39,Ohio,174,0.5804597701149425,0.5665935138513916,0.5649729148786485,0.5784995234468653,0.5704250556682224,0.6925199
40,Oklahoma,59,0.6271186440677966,0.5532513420490275,0.5325573480897622,0.5684750565539461,0.5479120070950657,0.68646413
41,Oregon,62,0.7096774193548387,0.675659437251298,0.6603398697664229,0.6428508995762963,0.668470441044931,0.69467854
42,Pennsylvania,192,0.5416666666666666,0.5415380068340946,0.58467773858587,0.567244005145073,0.5694147290679863,0.6986708
44,Rhode Island,15,0.6,0.6606834522498057,0.6223666533668282,0.6055038938460987,0.6274763432917604,0.66702116
45,South Carolina,79,0.5189873417721519,0.5610593385845168,0.557675050305634,0.5671139587570511,0.5573281489598332,0.6853977
46,South Dakota,14,0.4285714285714285,0.5877298359573861,0.5287299231902525,0.5709940870275844,0.5345081334043338,0.6985082
47,Tennessee,106,0.6415094339622641,0.5602009251958061,0.5556330438032361,0.5819695599505273,0.5773903348276664,0.6945066
48,Texas,445,0.5932584269662922,0.5922373090127314,0.5907433568278736,0.5822782854843603,0.5928875453105605,0.69411826
49,Utah,51,0.6274509803921569,0.5801209560733097,0.5653420784555776,0.5818198625715775,0.5768908186241725,0.69596666
50,Vermont,10,0.6,0.6419212755051127,0.6453416994338221,0.5997925957777842,0.6453640183254266,0.68587554
51,Virginia,128,0.6328125,0.6167722319264288,0.6180579071881483,0.6090655092443957,0.6221560798033493,0.6927565
53,Washington,116,0.6896551724137931,0.6953872659777158,0.6773604197478114,0.6605624563235114,0.6835104692701887,0.6766506
54,West Virginia,26,0.4615384615384615,0.4607905958324516,0.4457509307901569,0.5343699934084386,0.4526845968483771,0.6892647
55,Wisconsin,87,0.5862068965517241,0.5620910719925781,0.5655813626038853,0.576913890122856,0.5682511596146023,0.6960677
56,Wyoming,9,0.3333333333333333,0.3636094940038328,0.3726362786591672,0.529686811490275,0.3657245504352677,0.69196576
