Baseline (Naive Disaggregation) — Diagnostic Summary
=======================================================

Outcome variable: renewable_fuel
Total survey respondents (non-NaN): 2977
States with estimates: 51
States with NaN (no respondents): 0

Estimate range: [0.2857, 0.8571]
Mean estimate: 0.5808
Median estimate: 0.5789

Respondents per state:
  Min: 5
  Max: 347
  Mean: 58.4

State-level estimates:
state_fips           state_name  estimate  n_respondents
        01              Alabama  0.577778             45
        02               Alaska  0.857143              7
        04              Arizona  0.666667             66
        05             Arkansas  0.555556             27
        06           California  0.657061            347
        08             Colorado  0.653846             52
        09          Connecticut  0.781250             32
        10             Delaware  0.777778              9
        11 District of Columbia  0.666667              6
        12              Florida  0.615000            200
        13              Georgia  0.612245             98
        15               Hawaii  0.692308             13
        16                Idaho  0.470588             17
        17             Illinois  0.687500            112
        18              Indiana  0.540984             61
        19                 Iowa  0.655172             29
        20               Kansas  0.615385             26
        21             Kentucky  0.560976             41
        22            Louisiana  0.439024             41
        23                Maine  0.416667             12
        24             Maryland  0.696429             56
        25        Massachusetts  0.639344             61
        26             Michigan  0.534091             88
        27            Minnesota  0.529412             51
        28          Mississippi  0.615385             26
        29             Missouri  0.500000             56
        30              Montana  0.600000             10
        31             Nebraska  0.444444             18
        32               Nevada  0.379310             29
        33        New Hampshire  0.538462             13
        34           New Jersey  0.686747             83
        35           New Mexico  0.526316             19
        36             New York  0.676136            176
        37       North Carolina  0.610526             95
        38         North Dakota  0.285714              7
        39                 Ohio  0.594340            106
        40             Oklahoma  0.583333             36
        41               Oregon  0.578947             38
        42         Pennsylvania  0.573913            115
        44         Rhode Island  0.750000              8
        45       South Carolina  0.520833             48
        46         South Dakota  0.500000              8
        47            Tennessee  0.492063             63
        48                Texas  0.542751            269
        49                 Utah  0.620690             29
        50              Vermont  0.500000              6
        51             Virginia  0.576923             78
        53           Washington  0.642857             70
        54        West Virginia  0.437500             16
        55            Wisconsin  0.547170             53
        56              Wyoming  0.400000              5
