state_fips,estimate,state_name,n_respondents
11,0.9097774190518932,District of Columbia,6
15,0.899022719544113,Hawaii,9
24,0.8872055614687562,Maryland,19
34,0.8667295881056446,New Jersey,23
51,0.8638170037414448,Virginia,22
36,0.8593186915204776,New York,58
25,0.8513192545993293,Massachusetts,22
06,0.8510242287407935,California,109
53,0.8479551498462622,Washington,21
37,0.8478552664784454,North Carolina,24
08,0.8468302451257216,Colorado,19
27,0.8441544190659951,Minnesota,21
13,0.8435704960128179,Georgia,28
09,0.8418960819091535,Connecticut,12
10,0.8411518021284115,Delaware,7
50,0.8355882619688464,Vermont,3
44,0.8326616402521712,Rhode Island,7
42,0.831415449751776,Pennsylvania,36
41,0.8305413104968447,Oregon,12
45,0.8281953929678891,South Carolina,16
04,0.818239877803219,Arizona,20
33,0.8174204963521277,New Hampshire,7
02,0.8170151094807929,Alaska,4
20,0.8161111459751259,Kansas,10
31,0.8155608179641098,Nebraska,10
12,0.8144787524670387,Florida,60
35,0.8124451438974827,New Mexico,9
46,0.810854414778969,South Dakota,5
32,0.8098733439086419,Nevada,9
19,0.8097119125887817,Iowa,12
30,0.808576507369102,Montana,6
49,0.8018015625884098,Utah,12
23,0.8005552892277805,Maine,8
29,0.7984364025296506,Missouri,16
16,0.7909988948872907,Idaho,9
17,0.7767232700176395,Illinois,38
38,0.7623916677382934,North Dakota,6
28,0.7579846862870268,Mississippi,12
26,0.7565694301130169,Michigan,31
48,0.7546526656930229,Texas,72
55,0.7501613446820294,Wisconsin,20
01,0.7382905669360625,Alabama,16
47,0.7332026624188798,Tennessee,22
54,0.7322751931701565,West Virginia,7
40,0.7300860756360847,Oklahoma,11
22,0.7264994629840074,Louisiana,17
39,0.7264507273227064,Ohio,32
05,0.7263884159122109,Arkansas,13
56,0.7061439828194129,Wyoming,4
21,0.7019725704591329,Kentucky,16
18,0.6964966305427602,Indiana,22
