state_fips,state_name,estimate
17,Illinois,0.7978134415315598
11,District of Columbia,0.7394075598377925
24,Maryland,0.7171597257780136
08,Colorado,0.7150781247967177
06,California,0.7122689647845495
51,Virginia,0.7104925227618252
13,Georgia,0.7083385647587875
36,New York,0.7080699851755372
10,Delaware,0.7052526196032768
25,Massachusetts,0.7050830738467351
34,New Jersey,0.7049415535063381
09,Connecticut,0.7036787937458794
45,South Carolina,0.7030822136770225
01,Alabama,0.7023589354594252
27,Minnesota,0.7022175637256785
26,Michigan,0.701568814689711
37,North Carolina,0.6997170928400207
32,Nevada,0.6995447782941918
22,Louisiana,0.6994654251791135
53,Washington,0.6992283981525562
42,Pennsylvania,0.6989899887779035
20,Kansas,0.6983830818507896
50,Vermont,0.69621862330867
41,Oregon,0.6959973049290036
15,Hawaii,0.6958684973567341
28,Mississippi,0.6956567281174081
44,Rhode Island,0.6953325943061732
49,Utah,0.6952669498473706
23,Maine,0.6946737276681145
38,North Dakota,0.6946047508370435
48,Texas,0.6939267903135714
33,New Hampshire,0.6925251820891001
04,Arizona,0.6923277224700911
55,Wisconsin,0.691624280543541
31,Nebraska,0.6915084597282576
47,Tennessee,0.6904559317723815
30,Montana,0.6899029910222052
46,South Dakota,0.688228349574468
18,Indiana,0.6880010272725485
40,Oklahoma,0.6878905429918105
56,Wyoming,0.6878206763645561
19,Iowa,0.6866245698376034
12,Florida,0.6861637411463092
16,Idaho,0.6851290333358653
35,New Mexico,0.6849910664971168
39,Ohio,0.6847867741016894
02,Alaska,0.6822312249365672
21,Kentucky,0.681935643781056
05,Arkansas,0.6815069338174713
54,West Virginia,0.6803704218623775
29,Missouri,0.6667112119050922
