state_fips,state_name,n_respondents,baseline,glm_mrp
01,Alabama,45,0.5777777777777777,0.5529173893937753
02,Alaska,7,0.8571428571428571,0.6146218626512344
04,Arizona,66,0.6666666666666666,0.612738482975694
05,Arkansas,27,0.5555555555555556,0.5054084473050635
06,California,347,0.6570605187319885,0.6696579434334847
08,Colorado,52,0.6538461538461539,0.6040592657833181
09,Connecticut,32,0.78125,0.6707150388886071
10,Delaware,9,0.7777777777777778,0.5616314657578466
11,District of Columbia,6,0.6666666666666666,0.7186579843285247
12,Florida,200,0.615,0.5880151306135907
13,Georgia,98,0.6122448979591837,0.6189249910967671
15,Hawaii,13,0.6923076923076923,0.6581538109067946
16,Idaho,17,0.4705882352941176,0.5920986005669094
17,Illinois,112,0.6875,0.646076509760812
18,Indiana,61,0.5409836065573771,0.5368065834392248
19,Iowa,29,0.6551724137931034,0.5337663140873813
20,Kansas,26,0.6153846153846154,0.538217295249656
21,Kentucky,41,0.5609756097560976,0.5078158674561734
22,Louisiana,41,0.4390243902439024,0.481822887717729
23,Maine,12,0.4166666666666667,0.5913246538977065
24,Maryland,56,0.6964285714285714,0.6733150512866787
25,Massachusetts,61,0.639344262295082,0.6760141591789256
26,Michigan,88,0.5340909090909091,0.5931341343896683
27,Minnesota,51,0.5294117647058824,0.5692834454156765
28,Mississippi,26,0.6153846153846154,0.5822940200362169
29,Missouri,56,0.5,0.5305426547867659
30,Montana,10,0.6,0.5666180802202802
31,Nebraska,18,0.4444444444444444,0.5411291314561404
32,Nevada,29,0.3793103448275862,0.5908953379319274
33,New Hampshire,13,0.5384615384615384,0.6113274754571277
34,New Jersey,83,0.6867469879518072,0.656706256337911
35,New Mexico,19,0.5263157894736842,0.5643622465095682
36,New York,176,0.6761363636363636,0.6885518160692657
37,North Carolina,95,0.6105263157894737,0.6107537378253152
38,North Dakota,7,0.2857142857142857,0.40828842000776094
39,Ohio,106,0.5943396226415094,0.5706315289488503
40,Oklahoma,36,0.5833333333333334,0.48467275231819296
41,Oregon,38,0.5789473684210527,0.6125057092318433
42,Pennsylvania,115,0.5739130434782609,0.5779799169594941
44,Rhode Island,8,0.75,0.6412994808885354
45,South Carolina,48,0.5208333333333334,0.5844376833540088
46,South Dakota,8,0.5,0.5528621598042692
47,Tennessee,63,0.492063492063492,0.5625732216155671
48,Texas,269,0.5427509293680297,0.5511324804890798
49,Utah,29,0.6206896551724138,0.5780935575817592
50,Vermont,6,0.5,0.602587104114015
51,Virginia,78,0.5769230769230769,0.6337724876055827
53,Washington,70,0.6428571428571429,0.6352109740917881
54,West Virginia,16,0.4375,0.4592748732063582
55,Wisconsin,53,0.5471698113207547,0.5822696972557949
56,Wyoming,5,0.4,0.39002710885505615
