state_fips,state_name,n_respondents,baseline,glm_mrp,glmer_mrp,srp,glmerstan,mrdeep
01,Alabama,45,0.5111111111111111,0.5783809185753074,0.5543617248715457,0.6111211636843232,0.5590284793303026,0.6152392
02,Alaska,7,0.7142857142857143,0.6687805314567068,0.625769065892472,0.6306136437922475,0.6314877805066107,0.7287275
04,Arizona,66,0.6666666666666666,0.6567969836455415,0.6468096472126096,0.636792911792997,0.6526653928537565,0.682283
05,Arkansas,27,0.6296296296296297,0.5286147635614733,0.5453726912224759,0.5936914871150983,0.5439295480123151,0.6396073
06,California,347,0.6714697406340058,0.68041792721203,0.6852176924192231,0.665723818480297,0.6820264145786086,0.65086937
08,Colorado,52,0.7115384615384616,0.6523703648061463,0.6592995433410076,0.6331806106622608,0.6664686373098087,0.6924915
09,Connecticut,32,0.84375,0.745594822136158,0.639449526351005,0.6457581196694078,0.6745428561044309,0.65510076
10,Delaware,9,0.5555555555555556,0.5826397856283707,0.639360874300533,0.6131529478893409,0.629130297485164,0.6494078
11,District of Columbia,6,0.8333333333333334,0.863806439794163,0.8936378961017843,0.7006963976536035,0.8860743838692184,0.651805
12,Florida,200,0.64,0.6214975527610306,0.6378298427593708,0.6282130264095481,0.6334080170314804,0.60689706
13,Georgia,98,0.5816326530612245,0.6072660440640485,0.6316588722007539,0.6283113619346028,0.6166889301827155,0.6173446
15,Hawaii,13,0.6923076923076923,0.6861915807449589,0.6948796806187646,0.6736724491732511,0.6951574227339515,0.6539286
16,Idaho,17,0.4117647058823529,0.600495087485431,0.5564445313859292,0.6012219416956616,0.5570073312083531,0.5992462
17,Illinois,112,0.7053571428571429,0.6512500426602759,0.6436451716882411,0.6358330139107918,0.6561761345057917,0.62369573
18,Indiana,61,0.5081967213114754,0.5867724041466599,0.5678441309344723,0.5893509353920092,0.5663578776744939,0.52197814
19,Iowa,29,0.5862068965517241,0.5563558499291272,0.5457076636852627,0.5896974245090388,0.5510277416703686,0.6723465
20,Kansas,26,0.5384615384615384,0.581563084301339,0.5685075523580507,0.6042820892239342,0.5749840680907329,0.69631225
21,Kentucky,41,0.6341463414634146,0.5800886792704069,0.5578983547563321,0.5868107437999325,0.5719600977950264,0.63696086
22,Louisiana,41,0.5365853658536586,0.5622135059017794,0.5860738805903499,0.6107783311230582,0.5795734350889322,0.594754
